Slovoforma,lemma,part_of_speech,letters_in_slovoforma,slogi_slovoforma,rang_frequency_NKRIA,IA_DWELL_TIME_%,IA_AVERAGE_FIX_PUPIL_SIZE,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_TIME,IA_FIRST_FIX_PROGRESSIVE,IA_FIRST_RUN_FIXATION_%,IA_REGRESSION_IN,IA_REGRESSION_OUT,IA_REGRESSION_PATH_DURATION,TRIAL_FIXATION_COUNT,sex,grade
воркуют,ворковать,V,7,3,1,0.0726,994,228,3012,1,0.0833,0,0,228,12,f,2
изобрёл,изобретать,V,7,3,3,0.0152,1236,228,2700,0,0.0164,0,0,228,61,f,1
весной,весна,ADV,6,2,5,0.0136,1027,228,506,0,0.0132,1,0,228,76,f,2
своё,свой,A,4,2,5,0.0163,1263,228,8888,0,0.0154,0,0,228,65,f,3
чернильницу,чернильница,S,11,4,2,0.0154,972,230,14884,1,0.0172,0,0,230,58,f,2
разве,разве,PART,5,2,4,0.0028,565,230,34426,0,0.0031,0,0,230,319,f,1
так,так,ADV,3,1,5,0.0136,711,230,1762,0,0.0145,0,0,230,69,f,2
весной,весна,ADV,6,2,5,0.0128,1215,230,472,0,0.0161,1,0,230,62,f,3
она,она,P,3,2,5,0.0066,1250,230,16330,0,0.0092,0,0,230,109,m,2
стальной,стальной,A,9,2,3,0.0113,1235,232,462,0,0.0135,1,0,232,74,f,3
площадках,площадка,S,9,3,3,0.013,1994,232,13968,0,0.0125,0,0,232,80,m,3
зимой,зима,ADV,5,2,5,0.0066,1265,232,32690,1,0.008,0,0,232,125,f,1
трещат,трещать,V,6,2,2,0.0182,1819,232,1076,0,0.0185,0,0,232,54,f,3
летом,летом,ADV,5,2,5,0.0169,1429.5,128,8834,1,0.0147,0,0,128,68,f,3
пёс,пёс,S,3,1,3,0.0037,870,234,70620,0,0.0043,0,0,234,230,f,3
может,может,PART,5,2,4,0.0059,965,234,24774,1,0.0063,0,0,234,158,m,1
сел,садиться,V,3,1,4,0.0118,1016,234,1018,0,0.0114,0,0,234,88,f,2
детей,ребенок,S,5,2,4,0.0094,1314,234,13708,0,0.0087,0,0,234,115,m,1
снова,снова,ADV,5,2,5,0.0111,1057,234,14020,0,0.0128,0,0,234,78,m,1
спит,спать,V,4,1,4,0.007,1587,234,20794,1,0.0119,0,0,234,84,m,1
