modern_name,old_name_sep,id
"Бестужев-Рюмин, К. Н.","Бестужевъ-Рюминъ, К. Н.",691
"Бестужев-Рюмин, К. Н.","Бестужевъ-Рюминъ, К. Н.",1625
"Бестужев-Рюмин, Мих. Алексеев.","Бестужевъ-Рюминъ, Мих. Алексѣев.",318
"Бестужев-Рюмин, Мих. Алексеев.","Бестужевъ-Рюминъ, Мих. Алексѣев.",321
"Бестужев-Рюмын, Ф. В.","Бестужевъ-Рюмынъ, Ѳ. В.",764
"Бестужев, А. Ф.","Бестужевъ, А. Ѳ.",112
"Бестужева, С.","Бестужева, С.",1662
"Бетхер, Ал. Н.","Бетхеръ, Ал. Н.",1159
"Бехтерев, В. М.","Бехтеревъ, В. М.",2253
"Бехтерев, В. М.","Бехтеревъ, В. М.",2253
"Бехтерев, В. М.","Бехтеревъ, В. М.",2509
"Билибин, И. И.","Билибинъ, И. И.",1617
"Биркган, А.","Биркганъ, А.",2199
Бирюков,Бирюковъ,951
"Бирюков, И. П.","Бирюковъ, И. П.",2572
"Биттенбиндер, С. Г.","Биттенбиндеръ, С. Г.",1767
"Бихнер, Е. А.","Бихнеръ, Е. А.",2479
"Благов, Ф. И.","Благовъ, Ѳ. И.",2880
"Благовещенская, О.","Благовѣщенская, О.",917
"Благовещенский, Н. А.","Благовѣщенскій, Н. А.",625
"Благово, А. А.","Благово, А. А.",1175
"Благосветлов, Г. Е.","Благосвѣтловъ, Г. Е.",625
"Благосветлов, Г. Е.","Благосвѣтловъ, Г. Е.",901
"Бландов, А. И.","Бландовъ, А. И.",1981
"Бларамберг, Ив. Фед.","Бларамбергъ, Ив. Ѳед.",371
"Блаумберг, А. Б.","Блаумбергъ, А. Б.",2862
"Близмер, А. И.","Близмеръ, А. И.",230
"Близмер, А. И.","Близмеръ, А. И.",2230
"Блокк, Г.","Блоккъ, Г.",600
"Блокк, Г.","Блоккъ, Г.",1806
"Блокк, Е. Ю.","Блоккъ, Е. Ю.",2099
"Блокк, Е. Ю.","Блоккъ, Е. Ю.",2447
"Блоков, А.","Блоковъ, А.",1167
"Блонский, А.","Блонскій, А.",1534
